summary,experience,skills,labels,education
Biotechnologist focusing on pharmaceutical research and vaccine development.,Biotech Researcher BioHealth Labs (4 years) Laboratory Technician PharmaTech (3 years),Vaccine Development Biotechnology Pharmaceutical Research,"['Medical group', 'Biotechnology', 'Pharmaceuticals']",MSc in Biotechnology Ege University
Retail sales specialist with experience in consumer electronics and client acquisition.,Retail Sales Specialist TechStore (3 years) Sales Consultant ClientPro (2 years),Retail Sales Customer Relations Market Analysis,"['Sales group', 'Retail', 'Customer relations']",BBA in Marketing Marmara University
Business development executive focusing on strategic partnerships and lead generation.,Business Development Executive GrowthWorks (4 years) Lead Generation Specialist LeadMasters (2 years),Strategic Partnerships Business Expansion Lead Generation,"['Sales group', 'Business development', 'Strategic partnerships']",MBA in Strategic Management Koç University
Civil engineer specializing in large-scale infrastructure projects.,Civil Engineer InfraBuild (7 years) Project Engineer UrbanTech (3 years),Infrastructure Design Project Management Construction Planning,"['Field group', 'Civil engineering', 'Infrastructure']",BSc in Civil Engineering Istanbul Technical University
Landscape architect focusing on sustainable urban design and green spaces.,Landscape Architect GreenSpaces Ltd. (5 years) Urban Designer CityScape (2 years),Sustainable Design Urban Landscaping Architectural Planning,"['Field group', 'Landscape architecture', 'Urban design']",MSc in Landscape Architecture Ege University
Hospitality professional with expertise in hotel operations and guest relations.,Front Office Manager LuxuryStay Hotels (4 years) Guest Relations Specialist Elite Hotels Group (3 years),Guest Relations Hotel Operations Front Office Management,"['Hospitality group', 'Hotel management', 'Guest relations']",BSc in Tourism and Hospitality Management Anadolu University
Travel consultant specializing in ticketing and customer support for international clients.,Travel Consultant Global Travel Agency (5 years) Ticketing Specialist Skyline Airlines (2 years),Ticketing Customer Support Travel Planning,"['Hospitality group', 'Travel', 'Ticketing']",Diploma in Tourism Management Ege University
Office administrator with extensive experience in managing administrative processes and scheduling.,Office Administrator BizCore Solutions (6 years) Administrative Assistant AdminPro (2 years),Office Management Scheduling Administrative Support,"['Back-office group', 'Administration', 'Office management']",Diploma in Business Administration Marmara University
HR specialist focusing on employee engagement and recruitment.,HR Specialist PeopleFirst HR (3 years) Recruitment Officer HirePro (2 years),Employee Engagement Recruitment HR Operations,"['Back-office group', 'HR', 'Recruitment']",BSc in Human Resource Management Istanbul University
Digital marketing expert with experience in campaign management and SEO strategies.,Digital Marketing Specialist AdSphere (4 years) SEO Analyst SearchBoost (2 years),SEO Digital Campaigns Content Marketing,"['Media and marketing group', 'Digital marketing', 'SEO']",BSc in Marketing Koç University
Media planner specializing in PR campaigns and brand awareness strategies.,Media Planner PRWorld (5 years) Brand Specialist BrandBuilders (2 years),Brand Management PR Campaigns Media Planning,"['Media and marketing group', 'PR campaigns', 'Brand management']",MSc in Advertising Istanbul Bilgi University
Financial analyst specializing in risk management and investment strategies.,Financial Analyst InvestSmart (4 years) Risk Management Specialist SecureBank (3 years),Risk Analysis Investment Planning Financial Modelling,"['Finance and banking group', 'Risk management', 'Investments']",BSc in Economics Middle East Technical University
Auditor with extensive experience in tax compliance and corporate financial audits.,Senior Auditor AuditPro Solutions (6 years) Tax Consultant TaxExperts Ltd. (3 years),Corporate Auditing Tax Compliance Financial Reporting,"['Finance and banking group', 'Tax compliance', 'Auditing']",BSc in Finance Marmara University
Supply chain manager focusing on logistics optimization and procurement strategies.,Supply Chain Manager Global Logistics Ltd. (5 years) Procurement Specialist SmartSupply (3 years),Logistics Optimization Procurement Inventory Management,"['Industrial management group', 'Supply chain', 'Procurement']",BBA in Logistics Anadolu University
Warehouse manager with expertise in inventory control and operational efficiency.,Warehouse Manager Storage Solutions Ltd. (6 years) Inventory Specialist RetailSupply (2 years),Inventory Control Operational Efficiency Warehouse Management,"['Industrial management group', 'Warehouse', 'Inventory control']",BSc in Industrial Engineering Yıldız Technical University
Mechanical engineer specializing in construction equipment and maintenance.,Mechanical Engineer BuildTech Solutions (4 years) Equipment Specialist ConstructPro Ltd. (3 years),Equipment Maintenance Construction Engineering Project Planning,"['Field group', 'Mechanical engineering', 'Construction']",BSc in Mechanical Engineering Istanbul Technical University
Architect with experience in urban design and large-scale residential projects.,Architect DesignCity Ltd. (5 years) Urban Designer UrbanSolutions (3 years),Urban Design Residential Architecture Sustainable Building,"['Field group', 'Architecture', 'Urban design']",MSc in Architecture Middle East Technical University
Event planner focusing on corporate events and luxury weddings.,Event Manager EventPro (4 years) Assistant Event Coordinator LuxuryEvents Ltd. (2 years),Event Planning Vendor Management Customer Relations,"['Hospitality group', 'Event planning', 'Corporate events']",BSc in Tourism Management Akdeniz University
Travel operations specialist with expertise in airline ticketing and international travel planning.,Travel Operations Specialist SkyTravel (5 years) Ticketing Officer FlyHigh Airlines (2 years),Travel Planning Ticketing Customer Service,"['Hospitality group', 'Travel', 'Airlines']",Diploma in Travel and Tourism Ege University
Frontend developer with expertise in building responsive user interfaces and optimizing web performance.,Frontend Developer WebStream (3 years) UI/UX Designer CreativeCode Ltd. (2 years),HTML CSS JavaScript React,"['IT group', 'Web development', 'Frontend']",BSc in Computer Science Boğaziçi University
DevOps engineer with experience in cloud computing and CI/CD pipeline optimization.,DevOps Engineer CloudOps (4 years) System Administrator SecureCloud (3 years),CI/CD AWS Docker Kubernetes,"['IT group', 'DevOps', 'Cloud computing']",BSc in Software Engineering Middle East Technical University
Pharmacist specializing in drug formulation and quality control.,Pharmaceutical Specialist MediPharm Ltd. (5 years) Quality Control Officer PharmaCheck (3 years),Drug Formulation Quality Control Pharmaceutical Research,"['Medical group', 'Pharmaceuticals', 'Quality control']",BSc in Pharmacy Hacettepe University
Nutritionist focusing on clinical nutrition and dietary planning.,Clinical Nutritionist HealthFirst Clinic (4 years) Dietary Consultant NutriCare (2 years),Clinical Nutrition Diet Planning Health Counseling,"['Medical group', 'Nutrition', 'Clinical care']",BSc in Nutrition and Dietetics Istanbul University
Sales manager with expertise in B2C strategies and sales team leadership.,Sales Manager RetailCo (5 years) Team Leader ShopDirect (3 years),Sales Strategy Team Leadership Retail Sales,"['Sales group', 'Retail', 'B2C']",BBA in Marketing Marmara University
Account executive specializing in client retention and strategic partnerships.,Account Executive ClientPros (4 years) Customer Success Manager BizDevCo (2 years),Client Retention Customer Success Strategic Partnerships,"['Sales group', 'Account management', 'Customer success']",BBA in Business Administration Koç University
Hospitality operations manager with a focus on luxury hotel management and guest experience.,Operations Manager Elite Hotels (6 years) Guest Services Manager LuxuryStay (3 years),Hospitality Management Guest Services Luxury Hotel Operations,"['Hospitality group', 'Luxury hotels', 'Guest experience']",BSc in Tourism Management Akdeniz University
Travel consultant specializing in international tours and personalized itineraries.,Travel Consultant WorldExplorer (5 years) Tour Coordinator Adventure Travel (2 years),Tour Planning Itinerary Design Customer Service,"['Hospitality group', 'Travel planning', 'Tours']",Diploma in Travel and Tourism Ege University
Software engineer with experience in backend systems and API development.,Backend Engineer API Solutions (3 years) Software Developer CodeLab (2 years),Java Spring Boot PostgreSQL API Development,"['IT group', 'Backend development', 'API design']",BSc in Computer Science Istanbul Technical University
Machine learning engineer focusing on predictive modeling and AI systems.,Machine Learning Engineer AI Innovations (4 years) Data Scientist DataInsight (2 years),Python TensorFlow Deep Learning Big Data Analytics,"['IT group', 'Machine learning', 'Artificial intelligence']",MSc in Artificial Intelligence Middle East Technical University
Construction site manager with expertise in project scheduling and resource allocation.,Site Manager BuildSmart (6 years) Construction Supervisor MegaConstruct (3 years),Project Scheduling Resource Management Team Leadership,"['Field group', 'Construction management', 'Site supervision']",BSc in Civil Engineering Boğaziçi University
Environmental engineer specializing in sustainability and green building practices.,Environmental Engineer GreenTech Solutions (5 years) Sustainability Consultant EcoBuild (3 years),Sustainability Green Building Environmental Impact Assessment,"['Field group', 'Environmental engineering', 'Sustainability']",MSc in Environmental Engineering Yıldız Technical University
Financial planner with experience in wealth management and retirement planning.,Financial Planner WealthWise (5 years) Investment Advisor SmartInvest (3 years),Wealth Management Investment Planning Retirement Strategies,"['Finance and banking group', 'Wealth management', 'Retirement planning']",BSc in Economics Istanbul University
Corporate banker specializing in credit risk analysis and business loans.,Corporate Banker BankTrust (6 years) Credit Analyst CreditSolutions (2 years),Credit Risk Analysis Loan Processing Business Development,"['Finance and banking group', 'Corporate banking', 'Credit analysis']",BBA in Finance Koç University
Event coordinator with expertise in organizing conferences and business expos.,Event Coordinator ExpoEvents (5 years) Event Assistant GlobalConferences (2 years),Event Planning Vendor Management Customer Relations,"['Hospitality group', 'Event management', 'Business expos']",Diploma in Hospitality Management Ege University
Luxury travel consultant focusing on custom itineraries and high-end experiences.,Luxury Travel Consultant EliteTravels (5 years) Tour Planner WorldTours (3 years),Luxury Travel Itinerary Planning Client Relations,"['Hospitality group', 'Luxury travel', 'Itinerary planning']",BSc in Tourism and Hospitality Akdeniz University
Data engineer specializing in building and optimizing data pipelines.,Data Engineer DataStream Solutions (5 years) Big Data Analyst Insightful Data (2 years),Python SQL Spark Data Warehousing,"['IT group', 'Data engineering', 'Big data']",MSc in Data Engineering Middle East Technical University
Full-stack developer focusing on scalable web applications and cloud integration.,Full-stack Developer WebScale Ltd. (4 years) Cloud Integration Specialist TechFlow (3 years),JavaScript React Node.js AWS,"['IT group', 'Web development', 'Cloud integration']",BSc in Software Engineering Istanbul University
Investment banker specializing in mergers and acquisitions.,Investment Banker CapitalMarkets Co. (6 years) Analyst FinanceWorks (3 years),Mergers and Acquisitions Valuation Analysis Financial Modeling,"['Finance and banking group', 'Investment banking', 'Mergers']",MBA in Finance Koç University
Tax specialist focusing on corporate tax compliance and international taxation.,Tax Specialist GlobalTax Advisors (5 years) Junior Tax Analyst TaxBridge (2 years),Corporate Tax International Taxation Tax Compliance,"['Finance and banking group', 'Taxation', 'Corporate compliance']",BSc in Accounting Ankara University
Administrative assistant with expertise in office coordination and scheduling.,Administrative Assistant BizOps Ltd. (5 years) Office Coordinator AdminPlus (3 years),Scheduling Office Coordination Data Entry,"['Back-office group', 'Office management', 'Coordination']",Diploma in Office Management Marmara University
HR administrator specializing in employee relations and HR compliance.,HR Administrator PeopleSolutions (4 years) Recruitment Officer HireRight (2 years),Employee Relations Recruitment HR Compliance,"['Back-office group', 'HR', 'Employee relations']",BBA in Human Resources Anadolu University
Event manager with experience in corporate conferences and trade shows.,Event Manager BizEvents (5 years) Event Coordinator GlobalExpos (3 years),Event Planning Vendor Management Budgeting,"['Hospitality group', 'Event management', 'Corporate conferences']",Diploma in Event Management Akdeniz University
Hotel manager with expertise in front office operations and guest satisfaction.,Hotel Manager LuxuryStay Hotels (6 years) Front Office Supervisor Grand Resorts (3 years),Front Office Management Guest Satisfaction Hotel Operations,"['Hospitality group', 'Hotel management', 'Front office']",BSc in Tourism and Hospitality Ege University
Civil engineer with experience in large-scale infrastructure projects and highway construction.,Civil Engineer InfraBuild Ltd. (5 years) Project Manager MegaConstruct (3 years),Highway Construction Infrastructure Design Project Management,"['Field group', 'Civil engineering', 'Infrastructure']",BSc in Civil Engineering Boğaziçi University
Architect specializing in sustainable building designs and residential projects.,Architect EcoBuild Ltd. (6 years) Urban Planner DesignCity (2 years),Sustainable Design Architectural Planning Urban Development,"['Field group', 'Architecture', 'Sustainable design']",MSc in Architecture Middle East Technical University
Hotel front office manager with experience in luxury hospitality and customer care.,Front Office Manager Grand Luxe Hotels (5 years) Guest Services Officer EliteStays (3 years),Customer Service Front Office Operations Luxury Hospitality,"['Hospitality group', 'Hotel management', 'Customer care']",BSc in Tourism and Hospitality Akdeniz University
Travel consultant with expertise in group travel planning and itinerary customization.,Travel Consultant WorldTravels (5 years) Tour Manager AdventureTours (2 years),Group Travel Planning Custom Itineraries Customer Support,"['Hospitality group', 'Travel planning', 'Group tours']",Diploma in Travel and Tourism Ege University
Sales executive specializing in B2B sales and customer retention.,Sales Executive BizConnect (4 years) Account Manager ClientPro Ltd. (3 years),B2B Sales Customer Retention Negotiation,"['Sales group', 'B2B sales', 'Customer management']",BBA in Marketing Istanbul University
Retail sales manager with experience in fashion retail and store management.,Store Manager StyleHub (6 years) Assistant Manager TrendyStore (2 years),Retail Management Fashion Sales Team Leadership,"['Sales group', 'Retail', 'Fashion']",BBA in Business Administration Marmara University
Construction project manager specializing in large-scale infrastructure and urban development projects.,Project Manager BuildSmart Inc. (6 years) Site Engineer UrbanConstruct (4 years),Project Management Infrastructure Development Team Leadership,"['Field group', 'Construction management', 'Urban development']",BSc in Civil Engineering Middle East Technical University
Environmental engineer focusing on renewable energy and sustainability initiatives.,Environmental Engineer GreenTech Solutions (5 years) Energy Consultant EcoEnergy (3 years),Renewable Energy Sustainability Environmental Impact Assessment,"['Field group', 'Environmental engineering', 'Renewable energy']",MSc in Environmental Engineering Istanbul Technical University
Registered nurse specializing in critical care and emergency response.,Critical Care Nurse City Hospital (5 years) Emergency Response Nurse HealthPlus (3 years),Critical Care Emergency Response Patient Monitoring,"['Medical group', 'Nursing', 'Critical care']",BSc in Nursing Hacettepe University
Pharmaceutical researcher with expertise in drug development and regulatory affairs.,Research Scientist PharmaTech Labs (6 years) Clinical Research Associate GlobalHealth Research (3 years),Drug Development Clinical Research Regulatory Affairs,"['Medical group', 'Pharmaceutical research', 'Clinical trials']",MSc in Pharmaceutical Sciences Ege University
Social media strategist focusing on campaign optimization and audience engagement.,Social Media Specialist AdSphere (5 years) Content Manager CreativeWorks (3 years),Campaign Management Content Creation Audience Analysis,"['Media and marketing group', 'Social media', 'Campaign management']",BSc in Marketing Boğaziçi University
PR specialist with expertise in brand awareness and media relations.,PR Specialist MediaPro (6 years) Brand Manager BrandBuilders (2 years),Media Relations Brand Awareness Crisis Management,"['Media and marketing group', 'Public relations', 'Brand management']",MSc in Marketing Koç University
HR specialist with expertise in recruitment and employee engagement.,HR Specialist PeopleFirst (4 years) Recruitment Officer HireNow (2 years),Recruitment Employee Engagement HR Compliance,"['Back-office group', 'HR', 'Recruitment']",BBA in Human Resources Management Marmara University
Administrative officer focusing on office operations and logistics coordination.,Administrative Officer AdminCore (6 years) Office Assistant LogiServe (2 years),Office Operations Scheduling Logistics Coordination,"['Back-office group', 'Office operations', 'Logistics']",Diploma in Business Administration Anadolu University
Electrical engineer focusing on renewable energy systems and power distribution.,Power Systems Engineer EnergySolutions (4 years) Renewable Energy Consultant GreenPower Inc. (3 years),Renewable Energy Power Distribution Grid Optimization,"['Field group', 'Electrical engineering', 'Renewable energy']",BSc in Electrical Engineering Yıldız Technical University
Mechanical engineer specializing in HVAC systems and energy efficiency.,HVAC Engineer CoolTech Solutions (5 years) Mechanical Design Engineer DesignWorks (2 years),HVAC Design Energy Efficiency 3D Modeling,"['Field group', 'Mechanical engineering', 'Energy efficiency']",BSc in Mechanical Engineering Middle East Technical University
Travel operations specialist focusing on group bookings and logistics coordination.,Travel Operations Specialist WorldTravels (5 years) Group Coordinator AdventureCo (2 years),Group Travel Booking Systems Customer Service,"['Hospitality group', 'Travel operations', 'Group bookings']",Diploma in Travel and Tourism Ege University
Event coordinator with experience in corporate events and trade fairs.,Event Coordinator BizExpo (6 years) Assistant Event Manager EliteEvents (3 years),Event Planning Budget Management Vendor Coordination,"['Hospitality group', 'Event management', 'Trade fairs']",Diploma in Event Management Akdeniz University
Sales manager specializing in luxury goods and customer relationship management.,Luxury Sales Manager ExclusiveStyle (4 years) Sales Consultant HighEnd Co. (2 years),Luxury Sales Client Management Negotiation,"['Sales group', 'Luxury goods', 'Customer relationships']",BBA in Marketing Koç University
Account executive focusing on B2B partnerships and lead generation.,Account Executive BizConnect (5 years) Lead Generation Specialist MarketForce (2 years),Lead Generation Partnership Development Customer Acquisition,"['Sales group', 'B2B sales', 'Lead generation']",BBA in Business Administration Marmara University
HR assistant with expertise in payroll processing and employee data management.,HR Assistant PeopleCare Ltd. (4 years) Office Administrator AdminCore Solutions (2 years),Payroll Processing Data Management HR Compliance,"['Back-office group', 'HR', 'Payroll management']",BBA in Human Resources Management Marmara University
Administrative officer specializing in procurement and vendor management.,Administrative Officer BizProcure Ltd. (5 years) Procurement Assistant OfficePlus (3 years),Procurement Vendor Relations Administrative Support,"['Back-office group', 'Procurement', 'Vendor management']",Diploma in Business Administration Anadolu University
Content marketing specialist focusing on SEO and social media campaigns.,Content Marketing Specialist SEOBoost (5 years) Social Media Coordinator DigitalWave (3 years),Content Strategy SEO Social Media Marketing,"['Media and marketing group', 'Content marketing', 'SEO']",BSc in Marketing Boğaziçi University
Advertising account manager specializing in client relations and campaign planning.,Account Manager AdWorks Ltd. (6 years) Campaign Planner MediaPlus (2 years),Client Relations Campaign Strategy Advertising,"['Media and marketing group', 'Advertising', 'Campaign planning']",MSc in Advertising Istanbul University
Credit risk analyst with expertise in corporate loans and financial modeling.,Credit Analyst SecureBank (4 years) Financial Analyst GlobalFinance (3 years),Credit Risk Analysis Corporate Loans Financial Modelling,"['Finance and banking group', 'Risk analysis', 'Corporate finance']",BSc in Finance Marmara University
Investment portfolio manager specializing in high-net-worth clients and wealth management.,Portfolio Manager CapitalWealth (6 years) Investment Advisor FinanceGrowth (3 years),Portfolio Management Wealth Management Investment Planning,"['Finance and banking group', 'Portfolio management', 'Wealth management']",MBA in Finance Koç University
Biomedical engineer focusing on medical device development and testing.,Biomedical Engineer MediTech (5 years) Device Testing Specialist BioCare (2 years),Medical Device Development Biomedical Research Quality Assurance,"['Medical group', 'Biomedical engineering', 'Device testing']",BSc in Biomedical Engineering Istanbul Technical University
Laboratory technician specializing in diagnostic tests and sample analysis.,Lab Technician HealthLab Ltd. (6 years) Research Assistant BioDiagnostics (2 years),Sample Analysis Diagnostic Testing Laboratory Equipment,"['Medical group', 'Laboratory science', 'Diagnostics']",Diploma in Medical Laboratory Sciences Hacettepe University
Geotechnical engineer with experience in soil testing and foundation design.,Geotechnical Engineer GeoBuild Ltd. (7 years) Site Inspector UrbanGround (3 years),Soil Testing Foundation Design Site Analysis,"['Field group', 'Geotechnical engineering', 'Soil analysis']",BSc in Civil Engineering Boğaziçi University
Environmental engineer specializing in water treatment and waste management.,Environmental Engineer EcoWater Ltd. (5 years) Waste Management Specialist GreenWorks (2 years),Water Treatment Waste Management Environmental Compliance,"['Field group', 'Environmental engineering', 'Water treatment']",MSc in Environmental Engineering Yıldız Technical University
Digital marketing manager with expertise in influencer marketing and brand campaigns.,Digital Marketing Manager AdSphere (5 years) Social Media Coordinator BrandBuzz (3 years),Influencer Marketing Campaign Management SEO,"['Media and marketing group', 'Digital marketing', 'Brand campaigns']",BSc in Marketing Boğaziçi University
Content creator specializing in video production and social media strategy.,Video Content Specialist CreativeWorks (4 years) Social Media Manager ViralBoost (2 years),Video Production Social Media Strategy Content Editing,"['Media and marketing group', 'Content creation', 'Video production']",Diploma in Media Studies Istanbul University
Sales executive specializing in technology sales and lead generation.,Sales Executive TechSales Ltd. (5 years) Lead Generation Specialist InnovateSales (2 years),Technology Sales Client Acquisition Lead Generation,"['Sales group', 'Technology sales', 'Lead generation']",BBA in Business Administration Marmara University
Retail sales manager with expertise in store management and team supervision.,Retail Sales Manager StylePoint (6 years) Assistant Manager FashionWorks (2 years),Retail Management Customer Engagement Team Leadership,"['Sales group', 'Retail sales', 'Store management']",BBA in Marketing Koç University
Corporate banker focusing on business loans and credit portfolio management.,Corporate Banker BankTrust (6 years) Credit Analyst FinancePro (3 years),Business Loans Credit Analysis Portfolio Management,"['Finance and banking group', 'Corporate banking', 'Credit portfolio']",MBA in Finance Koç University
Tax consultant with expertise in corporate tax compliance and financial reporting.,Tax Consultant GlobalTax (5 years) Junior Accountant FinancePlus (3 years),Corporate Tax Financial Reporting Tax Compliance,"['Finance and banking group', 'Tax compliance', 'Corporate finance']",BSc in Accounting Middle East Technical University
Logistics specialist focusing on supply chain optimization and vendor management.,Logistics Specialist GlobalSupply Ltd. (5 years) Procurement Assistant SmartChain Solutions (2 years),Supply Chain Management Vendor Negotiations Inventory Control,"['Industrial management group', 'Logistics', 'Supply chain optimization']",BBA in Logistics and Supply Chain Management Anadolu University
Production manager specializing in manufacturing processes and lean production.,Production Manager IndustryPro (6 years) Quality Assurance Specialist ManufactureCo (2 years),Lean Manufacturing Process Optimization Quality Assurance,"['Industrial management group', 'Manufacturing', 'Lean production']",BSc in Industrial Engineering Middle East Technical University
Mechanical engineer specializing in thermal systems and energy efficiency.,Thermal Systems Engineer EnergyTech Ltd. (7 years) Mechanical Design Engineer DesignWorks (3 years),Thermal Systems Energy Efficiency Mechanical Design,"['Technical group', 'Mechanical engineering', 'Thermal systems']",BSc in Mechanical Engineering Istanbul Technical University
Electrical engineer focusing on power distribution and renewable energy solutions.,Electrical Engineer GreenEnergy Solutions (5 years) Power Systems Analyst EnergyGrid (3 years),Power Distribution Renewable Energy Grid Optimization,"['Technical group', 'Electrical engineering', 'Renewable energy']",BSc in Electrical Engineering Yıldız Technical University
Warehouse operations manager specializing in inventory optimization and logistics coordination.,Warehouse Manager SmartWare Ltd. (6 years) Inventory Specialist GlobalSupply (3 years),Inventory Optimization Logistics Coordination Warehouse Operations,"['Industrial management group', 'Warehouse management', 'Logistics']",BBA in Logistics Marmara University
Production planner with experience in demand forecasting and process scheduling.,Production Planner EfficientManuf Ltd. (5 years) Process Scheduler SmartManufacture (3 years),Demand Forecasting Process Scheduling Resource Allocation,"['Industrial management group', 'Production planning', 'Demand forecasting']",BSc in Industrial Engineering Middle East Technical University
Civil engineer focusing on structural analysis and earthquake-resistant building design.,Structural Engineer SolidBuild Ltd. (6 years) Design Engineer UrbanStructures (3 years),Structural Analysis Earthquake Resistance Building Design,"['Technical group', 'Civil engineering', 'Structural analysis']",BSc in Civil Engineering Boğaziçi University
Automation engineer specializing in robotics and industrial process automation.,Automation Engineer RoboTech Solutions (5 years) Process Engineer AutoPro Ltd. (3 years),Robotics Process Automation Control Systems,"['Technical group', 'Automation engineering', 'Robotics']",BSc in Mechatronics Engineering Yıldız Technical University
Environmental engineer focusing on renewable energy projects and waste recycling.,Environmental Engineer EcoTech Ltd. (5 years) Recycling Specialist GreenCycle (3 years),Renewable Energy Waste Recycling Environmental Policy,"['Field group', 'Environmental engineering', 'Waste recycling']",MSc in Environmental Engineering Istanbul Technical University
Mechanical engineer focusing on HVAC design and building energy optimization.,HVAC Design Engineer CoolAir Solutions (4 years) Energy Efficiency Specialist GreenEnergy Inc. (2 years),HVAC Design Energy Optimization Building Systems,"['Field group', 'Mechanical engineering', 'Energy optimization']",BSc in Mechanical Engineering Middle East Technical University
Quality assurance manager focusing on industrial processes and product inspections.,Quality Assurance Manager ManuTech Ltd. (5 years) Process Inspector GlobalManufacture (3 years),Quality Assurance Industrial Inspections Process Optimization,"['Industrial management group', 'Quality assurance', 'Industrial processes']",BSc in Industrial Engineering Middle East Technical University
Operations manager specializing in factory operations and resource allocation.,Operations Manager EfficientOps Ltd. (6 years) Logistics Coordinator LogiTrack (3 years),Factory Operations Resource Allocation Process Scheduling,"['Industrial management group', 'Factory operations', 'Resource allocation']",BSc in Industrial Engineering Anadolu University
Robotics engineer specializing in automation systems and industrial robotics.,Robotics Engineer AutoBot Ltd. (5 years) Automation Specialist TechFlow (3 years),Automation Systems Industrial Robotics Control Systems,"['Technical group', 'Robotics engineering', 'Automation']",MSc in Robotics Engineering Yıldız Technical University
